Customer_ID,Customer_Name,Email,Address_Line_1,City,Country,Postcode
17670-51384-MA,"ALOISIA  ALLNER  ",aallner0@lulu.com,57999 Pepper Wood Alley,Paterson,United States,7505
73342-18763-UW,PIOTR BOTE,pbote1@yelp.com,2112 Ridgeway Hill,Crumlin,Ireland,D6W
21125-22134-PX,JAMI REDHOLES,jredholes2@tmall.com,5214 Bartillon Park,San Antonio,United States,78205
71253-00052-RN,DENE AZEMA,dazema3@facebook.com,27 Maywood Place,Springfield,United States,62711
23806-46781-OU,CHRISTOFFER O' SHEA,NULL,38980 Manitowish Junction,Cill Airne,Ireland,N41
86561-91660-RB,BERYLE COTTIER,NULL,2651 Stoughton Place,Scranton,United States,18505
65223-29612-CB,SHAYLYNN LOBE,slobe6@nifty.com,7005 Mariners Cove Place,Dayton,United States,45440
21134-81676-FR,MELVIN WHARFE,NULL,7 Straubel Road,Kill,Ireland,P24
03396-68805-ZC,GUTHREY PE TRACCI,gpetracci8@livejournal.com,949 Paget Parkway,Los Angeles,United States,90045
61021-27840-ZN,Rodger Raven,rraven9@ed.gov,1 Reinke Avenue,Los Angeles,United States,90065
76239-90137-UQ,Ferrell Ferber,fferbera@businesswire.com,68 High Crossing Court,San Jose,United States,95160
49315-21985-BB,Duky Phizackerly,dphizackerlyb@utexas.edu,28643 Bluejay Crossing,San Jose,United States,95194
34136-36674-OM,Rosaleen Scholar,rscholarc@nyu.edu,80915 Montana Park,Richmond,United States,23285
39396-12890-PE,Terence Vanyutin,tvanyutind@wix.com,331 Bunting Hill,Migrate,United States,41905
95875-73336-RG,Patrice Trobe,ptrobee@wunderground.com,827 Declaration Plaza,Saint Louis,United States,63131
25473-43727-BY,Llywellyn Oscroft,loscroftf@ebay.co.uk,022 Roth Place,Philadelphia,United States,19172
99643-51048-IQ,Minni Alabaster,malabasterg@hexun.com,3 Charing Cross Trail,Portland,United States,97271
62173-15287-CU,R HIANON B ROX UP,rbroxuph@jimdo.com,83517 Thierer Court,Houston,United States,77240
57611-05522-ST,Pall Redford,predfordi@ow.ly,7337 Hayes Junction,Caherconlish,Ireland,F45
76664-37050-DT,Aurea Corradino,acorradinoj@harvard.edu,698 Canary Terrace,New York City,United States,10060
84565-53984-SX,Kendal Scardefield,NULL,3 Northridge Crossing,Clondalkin,Ireland,D24
03090-88267-BQ,Avrit Davidowsky,adavidowskyl@netvibes.com,9 Warrior Junction,Grand Rapids,United States,49560
37651-47492-NC,Annabel Antuk,aantukm@kickstarter.com,77965 Lawn Park,Punta Gorda,United States,33982
95399-57205-HI,Iorgo Kleinert,ikleinertn@timesonline.co.uk,1 Morningstar Lane,Vancouver,United States,98682
24010-66714-HW,Chrisy Blofeld,cblofeldo@amazon.co.uk,013 Talisman Terrace,Englewood,United States,80150
07591-92789-UA,Culley Farris,NULL,4 Mitchell Drive,Punta Gorda,United States,33982
49231-44455-IC,Selene Shales,sshalesq@umich.edu,74 Bultman Plaza,Petaluma,United States,94975
50124-88608-EO,Vivie Danneil,vdanneilr@mtv.com,5626 Darwin Avenue,Tralee,Ireland,V92
00888-74814-UZ,Theresita Newbury,tnewburys@usda.gov,79526 Bultman Lane,Clonskeagh,Ireland,D04
14158-30713-OB,Mozelle Calcutt,mcalcuttt@baidu.com,4389 Russell Way,Rathwire,Ireland,Y25
51427-89175-QJ,Adrian Swaine,NULL,95 Straubel Hill,Aurora,United States,80044
